SS_GROUP,Village,Surface,soil_0,soil_10,soil_11,soil_12,soil_16,soil_17,soil_18,soil_2,soil_22,soil_24,soil_25,soil_26,soil_29,soil_4,soil_5,soil_6
1,3845,4.28004,,,,,,,,,,,,,,1.0,,
1,3846,6.37724,,,,,,,,,,,,,,1.0,,
1,3847,6.74368,,,,,,,,,,,,,,1.0,,
1,3848,4.54576,,,,,,,,,,,,,,1.0,,
1,3849,4.1011,,,,,,,,,,,,,,1.0,,
1,3850,7.46753,,,,,,,,,,,,,,1.0,,
1,3851,7.47604,,,,,,,,,,,,,,1.0,,
1,3852,4.96246,,,,,,,,,,,,,,1.0,,
1,3853,7.09427,,,,,,,,,,,,,,1.0,,
1,3854,11.6142,,,,,,,,,,,,,,1.0,,
1,3855,7.40378,,,,,,,,,,,,,,1.0,,
1,3857,11.2063,,,,,,,,,,,,,,1.0,,
1,3858,10.4898,,,,,,,,,,,,,,1.0,,
1,3859,6.66384,,,,,,,,,,,,,,1.0,,
1,3860,5.8575,,,,,,,,,,,,,,1.0,,
1,3861,5.20117,,,,,,,,,,,,,,1.0,,
1,3862,6.24063,,,,,,,,,,,,,,1.0,,
1,3863,9.60797,,,,,,,,,,,,,,1.0,,
1,3864,6.52155,,,,,,,,,,,,,,1.0,,
1,3865,4.52296,,,,,,,,,,,,,,1.0,,
1,3866,9.28172,,,,,,,,,,,,,,1.0,,
1,3867,12.6721,,,,,,,,,,,,,,1.0,,
1,3868,9.68777,,,,,,,,,,,,,,1.0,,
1,3869,6.8203,,,,,,,,,,,,,,1.0,,
1,3870,8.67482,,,,,,,,,,,,,,1.0,,
1,3871,6.33934,,,,,,,,,,,,,,1.0,,
1,3872,9.31603,,,,,,,,,,,,,,1.0,,
1,3873,8.70103,,,,,,,,,,,,,,1.0,,
1,3874,5.23752,,,,,,,,,,,,,,1.0,,
1,3875,7.19594,,,,,,,,,,,,,,1.0,,
1,3876,10.8197,,,,,,,,,,,,,,1.0,,
1,3877,8.50823,,,,,,,,,,,,,,1.0,,
1,3878,3.10357,,,,,,,,,,,,,,1.0,,
1,3879,7.50773,,,,,,,,,,,,,,1.0,,
1,3880,16.911,,,,,,,0.009151511345182448,,,,,,,0.9702575881281571,,0.020590900526660506
1,3881,9.91208,,,,,,,,,,,,,,1.0,,
1,3882,8.20462,,,,,,,,,,,,,,1.0,,
1,3883,6.3904,,,,,,,,,,,,,,1.0,,
1,3884,9.16733,,,,,,,,,,,,,,1.0,,
1,3885,24.24,,,,,,,,,,,,,,1.0,,
1,3887,6.51553,,,,,,,,,,,,,,1.0,,
1,3888,7.8613,,,,,,,,,,,,,,1.0,,
1,3889,8.57467,,,,,,,,,,,,,,1.0,,
1,3890,7.08742,,,,,,,,,,,,,,1.0,,
1,3891,10.5305,,,,,,,,,,,,,,1.0,,
1,3892,6.51712,,,,,,,,,,,,,,1.0,,
1,3893,6.64985,,,,,,,,,,,,,,1.0,,
1,3894,7.96651,,,,,,,,,,,,,,1.0,,
1,3895,9.2631,,,,,,,,,,,,,,1.0,,
1,3896,7.97686,,,,,,,,,,,,,,1.0,,
1,3897,6.44013,,,,,,,,,,,,,,1.0,,
1,3898,15.4737,,,,,,,,,,,,,,1.0,,
1,3899,10.9623,,,,,,,,,,,,,,1.0,,
1,3900,16.7549,,,,,,,,,,,,,,1.0,,
1,3905,3.13906,,,,,,,,,,,,,,1.0,,
1,3913,5.56509,,,,,,,,,,,,,,1.0,,
1,3914,3.65931,,,,,,,,,,,,,,1.0,,
1,3916,12.9723,,,,,,,,,,,,,,1.0,,
1,3917,6.10716,,,,,,,,,,,,,,1.0,,
1,3918,6.08559,,,,,,,,,,,,,,1.0,,
1,3920,7.80642,,,,,,,,,,,,,,1.0,,
1,4011,24.6126,,,,,,,,,,,,,,1.0,,
1,4014,21.2947,,,,,,,,,,,,,,1.0,,
1,4215,5.49835,,,,,,,,,,,,,,1.0,,
1,4234,35.1045,,,,,3.802297797691833E-4,,,,,,,,,0.9996197702202307,,
1,4235,19.2822,,,,,,,,,,,,,,1.0,,
1,4237,7.12969,,,,,,,,,,,,,,1.0,,
1,4238,7.75195,,,,,,,,,,,,,,1.0,,
1,4241,8.68549,,,,,,,,,,,,,,1.0,,
1,4242,30.4902,,,,,,,0.0050732638992509425,,,,,,,0.9316700985804809,,0.06325663752026812
1,4247,7.17984,,,,,,,,,,,,,,1.0,,
1,4248,6.79862,,,,,,,,,,,,,,1.0,,
1,4250,10.4913,,,,,,,,,,,,,,1.0,,
1,4253,9.90497,,,,,,,,,,,,,,1.0,,
1,4255,13.0043,,,,,,,,,,,,,,1.0,,
1,4256,25.5796,,,,,,,,,,,,,,1.0,,
1,4257,5.9459,,,,,,,,,,,,,,1.0,,
1,4259,7.53465,,,,,,,,,,,,,,1.0,,
1,4262,6.93348,,,,,,,,,,,,,,1.0,,
1,4273,6.91272,,,,,,,,,,,,,,1.0,,
1,4274,10.6245,,,,,,,,,,,,,,1.0,,
1,4275,15.9687,,,,,,,,,,,,,,1.0,,
1,4276,13.6115,,,,,,,,,,,,,,1.0,,
1,4277,8.43277,,,,,,,,,,,,,,1.0,,
1,4278,6.68809,,,,,,,,,,,,,,1.0,,
1,4279,9.45271,,,,,,,,,,,,,,1.0,,
1,4280,9.90562,,,,,,,,,,,,,,1.0,,
1,4281,8.02764,,,,,,,,,,,,,,1.0,,
1,4282,7.49408,,,,,,,,,,,,,,1.0,,
1,4283,4.19624,,,,,,,,,,,,,,1.0,,
1,4284,5.90201,,,,,,,,,,,,,,1.0,,
1,4285,4.97817,,,,,,,,,,,,,,1.0,,
1,4286,5.15611,,,,,,,,,,,,,,1.0,,
1,4287,12.7364,,,,,,,,,,,,,,1.0,,
1,4288,20.372,,,,,,,,,,,,,,1.0,,
1,4289,9.04199,,,,,,,,,,,,,,1.0,,
1,4290,18.962,,,,,,,,,,,,,,1.0,,
1,4291,11.7923,,,,,,,,,,,,,,1.0,,
1,4292,7.5455,,,,,,,,,,,,,,1.0,,
1,4293,8.87929,,,,,,,,,,,,,,1.0,,
1,4294,9.02777,,,,,,,,,,,,,,1.0,,
1,4295,7.45682,,,,,,,,,,,,,,1.0,,
1,4296,5.3605,,,,,,,,,,,,,,1.0,,
1,4297,11.2203,,,,,,,,,,,,,,1.0,,
1,4298,10.7758,,,,,,,,,,,,,,1.0,,
1,4299,13.5027,,,,,,,,,,,,,,1.0,,
1,4300,5.55208,,,,,,,,,,,,,,1.0,,
1,4301,9.23502,,,,,,,,,,,,,,1.0,,
1,4302,16.4932,,,,,,,,,,,,,,1.0,,
1,4303,7.73166,,,,,,,,,,,,,,1.0,,
1,4304,14.9973,,,,,,,,,,,,,,1.0,,
1,4305,11.7267,,,,,,,,,,,,,,1.0,,
1,4306,8.76687,,,,,,,,,,,,,,1.0,,
1,4307,5.45839,,,,,,,,,,,,,,1.0,,
1,4308,5.66456,,,,,,,,,,,,,,1.0,,
1,4309,6.76942,,,,,,,,,,,,,,1.0,,
1,4310,9.8119,,,,,,,,,,,,,,1.0,,
1,4311,9.92306,,,,,,,,,,,,,,1.0,,
1,4312,19.0725,,,,,,,,,,,,,,1.0,,
1,4313,10.1304,,,,,,,,,,,,,,1.0,,
1,4314,17.003,,,,,,,,,,,,,,1.0,,
1,4315,3.39991,,,,,,,,,,,,,,1.0,,
1,4316,13.2488,,,,,,,,,,,,,,1.0,,
1,4317,9.48836,,,,,,,,,,,,,,1.0,,
1,4318,12.2509,,,,,,,,,,,,,,1.0,,
1,4319,4.93708,,,,,,,,,,,,,,1.0,,
1,4320,7.40586,,,,,,,,,,,,,,1.0,,
1,4321,8.94639,,,,,,,,,,,,,,1.0,,
1,4322,3.86628,,,,,,,,,,,,,,1.0,,
1,4323,6.18977,,,,,,,,,,,,,,1.0,,
1,4324,11.1957,,,,,,,,,,,,,,1.0,,
1,4325,8.09674,,,,,,,,,,,,,,1.0,,
1,4326,4.17611,,,,,,,,,,,,,,1.0,,
1,4327,3.80228,,,,,,,,,,,,,,1.0,,
1,4328,1.7009,,,,,,,,,,,,,,1.0,,
1,4329,4.38199,,,,,,,,,,,,,,1.0,,
1,4330,10.8174,,,,,,,,,,,,,,1.0,,
1,4331,11.4068,,,,,,,,,,,,,,1.0,,
1,4332,15.3171,,,,,,,,,,,,,,1.0,,
1,4333,13.15,,,,,,,,,,,,,,1.0,,
1,4334,13.7437,,,,,,,,,,,,,,1.0,,
1,4335,15.4941,,,,,,,,,,,,,,1.0,,
1,4336,9.94559,,,,,,,,,,,,,,1.0,,
1,4337,10.9382,,,,,,,,,,,,,,1.0,,
1,4338,12.6685,,,,,,,,,,,,,,1.0,,
1,4339,13.1356,,,,,,,,,,,,,,1.0,,
1,4340,8.63677,,,,,,,,,,,,,,1.0,,
1,4341,8.44514,,,,,,,,,,,,,,1.0,,
1,4342,4.68436,,,,,,,,,,,,,,1.0,,
1,4343,8.04378,,,,,,,,,,,,,,1.0,,
1,4344,7.97744,,,,,,,,,,,,,,1.0,,
1,4345,9.23523,,,,,,,,,,,,,,1.0,,
1,4346,7.47556,,,,,,,,,,,,,,1.0,,
1,4347,8.36808,,,,,,,,,,,,,,1.0,,
1,4348,5.1734,,,,,,,,,,,,,,1.0,,
1,4349,4.29317,,,,,,,,,,,,,,1.0,,
1,4350,9.18521,,,,,,,,,,,,,,1.0,,
1,4351,9.71671,,,,,,,,,,,,,,1.0,,
1,4352,11.7069,,,,,,,,,,,,,,1.0,,
1,4353,8.64823,,,,,,,,,,,,,,1.0,,
1,4354,7.25187,,,,,,,,,,,,,,1.0,,
1,4355,10.7009,,,,,,,,,,,,,,1.0,,
1,4356,23.4667,,,,,,,,,,,,,,1.0,,
1,4357,8.5779,,,,,,,,,,,,,,1.0,,
1,4358,8.09864,,,,,,,,,,,,,,1.0,,
1,4359,8.08133,,,,,,,,,,,,,,1.0,,
1,4360,10.6011,,,,,,,,,,,,,,1.0,,
1,4361,17.9918,,,,,,,,,,,,,,0.999114678628342,,8.853213716579117E-4
1,4362,12.4921,,,,,,,,,,,,,,1.0,,
1,4363,10.5251,,,,,,,,,,,,,,1.0,,
1,4364,10.0556,,,,,,,,,,,,,,1.0,,
1,4365,6.98664,,,,,,,,,,,,,,1.0,,
1,4366,16.7477,,,,,0.029257029021596416,,,,,,,,,0.9658622719246615,,0.004880699053742021
1,4367,8.92595,,,,,,,,,,,,,,1.0,,
1,4368,22.9643,,,,,0.004636938299657182,,,,,,,,,0.9951649019439472,,1.981597563956061E-4
1,4369,20.1112,,,,,0.050191536210900986,,,,,,,,,0.9442735197418032,,0.005534944047295872
1,4370,19.9029,0.014090088167831319,,,,0.010950490371646082,,,,,,,,,0.9710730261302933,,0.0038863953302292983
1,4371,33.1994,,,,,,,,,,,,,,1.0,,
1,4372,8.63258,,,,,,,,,,,,,,1.0,,
1,4373,5.71664,,,,,,,,,,,,,,1.0,,
1,4374,14.1317,0.004789416034878975,,,,,,,,,,,,,0.9952105839651211,,
1,4375,19.5424,,,,,,,,,,,,,,0.9876806756609895,,0.012319324339010415
1,4376,10.7773,,,,,,,,,,,,,,1.0,,
1,4377,6.86759,,,,,,,,,,,,,,1.0,,
1,4378,9.77946,,,,,,,,,,,,,,1.0,,
1,4379,4.64992,,,,,,,,,,,,,,1.0,,
1,4380,9.67715,,,,,,,,,,,,,,1.0,,
1,4381,7.07364,,,,,,,,,,,,,,1.0,,
1,4382,6.07768,,,,,,,,,,,,,,1.0,,
1,4383,11.498,,,,,,,,,,,,,,1.0,,
1,4384,12.1691,,,,,,,,,,,,,,1.0,,
1,4385,10.1342,,,,,,,,,,,,,,1.0,,
1,4386,13.9252,,,,,,,,,,,,,,1.0,,
