SS_GROUP,Village,Surface,Agro_1,Agro_12,Agro_13,Agro_14,Agro_15,Agro_16,Agro_2,Agro_3,Agro_4,Agro_5,Agro_6,Agro_7,Agro_8,Agro_9
1,3825,4.25645,,,1.0,,,,,,,,,,,
1,3826,5.98301,,,1.0,,,,,,,,,,,
1,3827,8.07729,,,1.0,,,,,,,,,,,
1,3828,6.75376,,,1.0,,,,,,,,,,,
1,3829,7.75778,,,1.0,,,,,,,,,,,
1,3830,6.61149,,,1.0,,,,,,,,,,,
1,3831,6.09037,,,1.0,,,,,,,,,,,
1,3832,7.71691,,,1.0,,,,,,,,,,,
1,3833,10.8195,,,1.0,,,,,,,,,,,
1,3834,7.47371,,,1.0,,,,,,,,,,,
1,3835,6.70015,,,1.0,,,,,,,,,,,
1,3836,6.77658,,,1.0,,,,,,,,,,,
1,3837,9.19056,,,1.0,,,,,,,,,,,
1,3838,7.57878,,,1.0,,,,,,,,,,,
1,3839,4.19692,,,1.0,,,,,,,,,,,
1,3840,10.336,,,1.0,,,,,,,,,,,
1,3841,5.25628,,,1.0,,,,,,,,,,,
1,3842,5.54386,,,1.0,,,,,,,,,,,
1,3843,6.83261,,,1.0,,,,,,,,,,,
1,3844,6.88942,,,1.0,,,,,,,,,,,
1,3845,4.28004,,,1.0,,,,,,,,,,,
1,3846,6.37724,,,1.0,,,,,,,,,,,
1,3847,6.74368,,,1.0,,,,,,,,,,,
1,3848,4.54576,,,1.0,,,,,,,,,,,
1,3849,4.1011,,,1.0,,,,,,,,,,,
1,3850,7.46753,,,1.0,,,,,,,,,,,
1,3851,7.47604,,,1.0,,,,,,,,,,,
1,3852,4.96246,,,1.0,,,,,,,,,,,
1,3853,7.09427,,,0.2975384681187779,,,,,,,,,0.7024615318812221,,
1,3854,11.6142,,,0.5937644899851754,,,,,,,,,0.4062355100148246,,
1,3855,7.40378,,,1.0,,,,,,,,,,,
1,3857,11.2063,,,0.9986699787467342,,,,,,,,,0.0013300212532658278,,
1,3858,10.4898,,,1.0,,,,,,,,,,,
1,3859,6.66384,,,1.0,,,,,,,,,,,
1,3860,5.8575,,,1.0,,,,,,,,,,,
1,3861,5.20117,,,1.0,,,,,,,,,,,
1,3862,6.24063,,,1.0,,,,,,,,,,,
1,3863,9.60797,,,1.0,,,,,,,,,,,
1,3864,6.52155,,,1.0,,,,,,,,,,,
1,3865,4.52296,,,1.0,,,,,,,,,,,
1,3866,9.28172,,,1.0,,,,,,,,,,,
1,3867,12.6721,,,1.0,,,,,,,,,,,
1,3868,9.68777,,,0.9825775105024332,,,,,,,,,0.017422489497566727,,
1,3869,6.8203,,,0.9143972767320785,,,,,,,,,0.08560272326792152,,
1,3870,8.67482,,,0.6085448629358151,,,,,,,,,0.391455137064185,,
1,3871,6.33934,,,0.010508425890463422,,,,,,,,,0.9894915741095366,,
1,3872,9.31603,,,0.6679046734757041,,,,,,,,,0.33209532652429585,,
1,3873,8.70103,,,1.0,,,,,,,,,,,
1,3874,5.23752,,,1.0,,,,,,,,,,,
1,3875,7.19594,,,1.0,,,,,,,,,,,
1,3876,10.8197,,,1.0,,,,,,,,,,,
1,3877,8.50823,,,1.0,,,,,,,,,,,
1,3878,3.10357,,,1.0,,,,,,,,,,,
1,3879,7.50773,,,0.3011758998640666,,,,,,,,,0.6988241001359333,,
1,3880,16.911,,,,,,,,,,,,1.0,,
1,3881,9.91208,,,,,,,,,,,,1.0,,
1,3882,8.20462,,,,,,,,,,,,1.0,,
1,3883,6.3904,,,0.12681449817436993,,,,,,,,,0.87318550182563,,
1,3884,9.16733,,,,,,,,,,,,1.0,,
1,3885,24.24,,,,,,,,,,,,1.0,,
1,3887,6.51553,,,0.48762082217305225,,,,,,,,,0.5123791778269479,,
1,3888,7.8613,,,,,,,,,,,,1.0,,
1,3889,8.57467,,,0.5725959517752461,,,,,,,,,0.4274040482247539,,
1,3890,7.08742,,,0.9232910294770986,,,,,,,,,0.07670897052290138,,
1,3891,10.5305,,,1.0,,,,,,,,,,,
1,3892,6.51712,,,1.0,,,,,,,,,,,
1,3893,6.64985,,,1.0,,,,,,,,,,,
1,3894,7.96651,,,1.0,,,,,,,,,,,
1,3895,9.2631,,,1.0,,,,,,,,,,,
1,3896,7.97686,,,1.0,,,,,,,,,,,
1,3897,6.44013,,,1.0,,,,,,,,,,,
1,3898,15.4737,,,0.6674348758810907,,,,,,,,,0.33256512411890926,,
1,3899,10.9623,,,,,,,,,,,,1.0,,
1,3900,16.7549,,,0.47501743706803623,,,,,,,,,0.5249825629319638,,
1,3905,3.13906,,,,,,,,,,,,1.0,,
1,3913,5.56509,,,,,,,,,,,,1.0,,
1,3914,3.65931,,,,,,,,,,,,1.0,,
1,3916,12.9723,,,,,,,,,,,,1.0,,
1,3917,6.10716,,,,,,,,,,,,1.0,,
1,3918,6.08559,,,,,,,,,,,,1.0,,
1,3920,7.80642,,,,,,,,,,,,1.0,,
1,4011,24.6126,,,1.0,,,,,,,,,,,
1,4014,21.2947,,,1.0,,,,,,,,,,,
1,4215,5.49835,,,,,,,,,,,,1.0,,
1,4234,35.1045,,,,,,,,,,,,1.0,,
1,4235,19.2822,,,,,,,,,,,,1.0,,
1,4237,7.12969,,,,,,,,,,,,1.0,,
1,4238,7.75195,,,,,,,,,,,,1.0,,
1,4241,8.68549,,,,,,,,,,,,1.0,,
1,4242,30.4902,,,,,,,,,,,,1.0,,
1,4247,7.17984,,,,,,,,,,,,1.0,,
1,4248,6.79862,,,,,,,,,,,,1.0,,
1,4250,10.4913,,,,,,,,,,,,1.0,,
1,4253,9.90497,,,,,,,,,,,,1.0,,
1,4255,13.0043,,,,,,,,,,,,1.0,,
